sku,name,slug,brand,vehicle_type,product_type,compatible_makes,compatible_models,fitment_year_range,item_number,short_description,description,specs_and_features,fitment_vehicle,fitment_disclaimer,meta_title,meta_description,meta_keywords,canonical_url,source_url,price,was_price,savings,rating,review_count,front_tire_fitment,rear_tire_fitment,wheel_locations,available_sizes_count,available_sizes,total_part_numbers,compare_at_price,cost_price,stock_quantity,category_id,primary_image,gallery_images,all_image_urls,custom_attributes,is_active,is_featured,created_at,updated_at
WC-PROD-449,Dunlop Sportmax  II,dunlop-sportmax-ii,Dunlop,Street Bike,Tires,Dunlop,Sportmax II,1995 - 2025,,Premium Dunlop Dunlop Sportmax  II motorcycle tire.,"High performance Dunlop Sportmax  II motorcycle tire engineered for optimal traction, cornering stability, and extended tread life.",,,,Dunlop Sportmax  II | America Motorcycle Tire,Premium Dunlop Dunlop Sportmax  II motorcycle tire.,"Dunlop Sportmax  II, Dunlop, motorcycle tire, bike tires",,,166.75,,,0,0,,,,0,,0,,,50,2,https://americamotorcycletire.com/wp-content/uploads/2026/06/i-6.webp,['https://americamotorcycletire.com/wp-content/uploads/2026/06/i-6.webp'],https://americamotorcycletire.com/wp-content/uploads/2026/06/i-6.webp,"{""Wheel Location"":""Front, Rear"",""Type"":""Sport Bike Tires"",""Make"":""Dunlop"",""Model"":""Sportmax II"",""Tire Size"":""Front 120\/60ZR17 55W TL, Front 120\/70ZR17 58W TL, Rear 160\/60ZR17 69W TL, Rear 180\/55ZR17 73W TL, Rear 190\/50ZR17 73W TL, Rear 190\/55ZR17 75W, Rear 200\/55ZR17 78W""}",1,0,8/2/2026 17:32,8/2/2026 17:32
WC-PROD-451,Dunlop Sportmax  III,dunlop-sportmax-iii,Dunlop,Street Bike,Tires,Dunlop,Sportmax III,1995 - 2025,,Premium Dunlop Dunlop Sportmax  III motorcycle tire.,"High performance Dunlop Sportmax  III motorcycle tire engineered for optimal traction, cornering stability, and extended tread life.",,,,Dunlop Sportmax  III | America Motorcycle Tire,Premium Dunlop Dunlop Sportmax  III motorcycle tire.,"Dunlop Sportmax  III, Dunlop, motorcycle tire, bike tires",,,155.99,,,0,0,,,,0,,0,,,50,2,https://americamotorcycletire.com/wp-content/uploads/2026/06/100026444100b0.jpg,['https://americamotorcycletire.com/wp-content/uploads/2026/06/100026444100b0.jpg'],https://americamotorcycletire.com/wp-content/uploads/2026/06/100026444100b0.jpg,"{""Wheel Location"":""Front, Rear"",""Tire Size"":""Front 110\/80-18, Front 120\/60-17, Front 120\/70-17, Front 120\/70-18, Rear 160\/60-17, Rear 160\/70-17, Rear 170\/60-17, Rear 180\/55-17, Rear 160\/60-17, Rear 190\/50-17, Rear 160\/60-17, Rear 190\/55-17"",""Type"":""Sport Bike Tires"",""Make"":""Dunlop"",""Model"":""Sportmax III""}",1,0,8/2/2026 17:32,8/2/2026 17:32
WC-PROD-453,Dunlop Sportmax  IV,dunlop-sportmax-iv,Dunlop,Street Bike,Tires,Dunlop,Sportmax IV,1995 - 2025,,Premium Dunlop Dunlop Sportmax  IV motorcycle tire.,"High performance Dunlop Sportmax  IV motorcycle tire engineered for optimal traction, cornering stability, and extended tread life.",,,,Dunlop Sportmax  IV | America Motorcycle Tire,Premium Dunlop Dunlop Sportmax  IV motorcycle tire.,"Dunlop Sportmax  IV, Dunlop, motorcycle tire, bike tires",,,181,,,0,0,,,,0,,0,,,50,2,https://americamotorcycletire.com/wp-content/uploads/2026/06/DUNLOP-SPORTMAX-ROADSMART-4-120-70ZR17-150-70ZR17.jpg,['https://americamotorcycletire.com/wp-content/uploads/2026/06/DUNLOP-SPORTMAX-ROADSMART-4-120-70ZR17-150-70ZR17.jpg'],https://americamotorcycletire.com/wp-content/uploads/2026/06/DUNLOP-SPORTMAX-ROADSMART-4-120-70ZR17-150-70ZR17.jpg,"{""Wheel Location"":""Front, Rear"",""Tire Size"":""Front 120\/70 x 17, Front 120\/17 x 18, Rear 160\/60 x 17, Rear 170\/60 x 17, Rear 180\/55 x 17, Rear1 90\/50 x 17, Rear 190\/55 x 17"",""Type"":""Sport Bike Tires"",""Make"":""Dunlop"",""Model"":""Sportmax IV""}",1,0,8/2/2026 17:32,8/2/2026 17:32
WC-PROD-842,Pirelli Diablo Supercorsa SP V4 Tires,pirelli-diablo-supercorsa-sp-v4-tires,Pirelli,Street Bike,Tires,Pirelli,Diablo Supercorsa SP V4,1995 - 2025,,Premium Pirelli Pirelli Diablo Supercorsa SP V4 Tires motorcycle tire.,"High performance Pirelli Diablo Supercorsa SP V4 Tires motorcycle tire engineered for optimal traction, cornering stability, and extended tread life.",,,,Pirelli Diablo Supercorsa SP V4 Tires | America Motorcycle Tire,Premium Pirelli Pirelli Diablo Supercorsa SP V4 Tires motorcycle tire.,"Pirelli Diablo Supercorsa SP V4 Tires, Pirelli, motorcycle tire, bike tires",,,199.66,,,0,0,,,,0,,0,,,50,2,https://americamotorcycletire.com/wp-content/uploads/2026/06/pirelli_diablo_supercorsa_spv4_tires.avif,"['https://americamotorcycletire.com/wp-content/uploads/2026/06/pirelli_diablo_supercorsa_spv4_tires.avif', 'https://americamotorcycletire.com/wp-content/uploads/2026/06/pirelli_diablo_supercorsa_spv4_tires-1.avif', 'https://americamotorcycletire.com/wp-content/uploads/2026/06/pirelli_diablo_supercorsa_spv4_tires-2.avif']",https://americamotorcycletire.com/wp-content/uploads/2026/06/pirelli_diablo_supercorsa_spv4_tires.avif ; https://americamotorcycletire.com/wp-content/uploads/2026/06/pirelli_diablo_supercorsa_spv4_tires-1.avif ; https://americamotorcycletire.com/wp-content/uploads/2026/06/pirelli_diablo_supercorsa_spv4_tires-2.avif,"{""Wheel Location"":""Front, Rear"",""Tire Size"":""Front 110\/70ZR17 54W, Front 120\/70ZR17 58W, Rear 140\/70ZR17 66W, Rear 150\/60ZR17 66W, Rear 180\/55ZR17 73W, Rear 180\/60ZR17 75W, Rear 190\/50ZR17 73W, Rear 190\/55ZR17 75W, Rear 200\/55ZR17 78W, Rear 200\/60ZR17 80W"",""Type"":""Sport Bike Tires"",""Make"":""Pirelli"",""Model"":""Diablo Supercorsa SP V4""}",1,0,8/2/2026 17:32,8/2/2026 17:32
WC-PROD-877,Shinko SR 999 Long Haul Tires,shinko-sr-999-long-haul-tires,Shinko,Street Bike,Tires,Shinko,SR999,1995 - 2025,,Premium Shinko Shinko SR 999 Long Haul Tires motorcycle tire.,"High performance Shinko SR 999 Long Haul Tires motorcycle tire engineered for optimal traction, cornering stability, and extended tread life.",,,,Shinko SR 999 Long Haul Tires | America Motorcycle Tire,Premium Shinko Shinko SR 999 Long Haul Tires motorcycle tire.,"Shinko SR 999 Long Haul Tires, Shinko, motorcycle tire, bike tires",,,114.99,,,0,0,,,,0,,0,,,50,3,https://americamotorcycletire.com/wp-content/uploads/2026/06/shinko_sr999_long_haul_tires_rear.avif,"['https://americamotorcycletire.com/wp-content/uploads/2026/06/shinko_sr999_long_haul_tires_rear.avif', 'https://americamotorcycletire.com/wp-content/uploads/2026/06/shinko_sr999_long_haul_tires_front.avif', 'https://americamotorcycletire.com/wp-content/uploads/2026/06/shinko_sr999_long_haul_tires.avif']",https://americamotorcycletire.com/wp-content/uploads/2026/06/shinko_sr999_long_haul_tires_rear.avif ; https://americamotorcycletire.com/wp-content/uploads/2026/06/shinko_sr999_long_haul_tires_front.avif ; https://americamotorcycletire.com/wp-content/uploads/2026/06/shinko_sr999_long_haul_tires.avif,"{""Wheel Location"":""Front, Rear"",""Tire Size"":""Rear 160\/80B15 74H TL, Rear 150\/90B15 80H TL, Rear 170\/80B15 83H TL, Rear 170\/80B15 83H TL WW, Rear 180\/70B15 82H TL, Rear 130\/90B16 73H TL, Rear 130\/90B16 77H TL WW, Rear MU85B16 77H TL, Rear MU85B16 77H TL WW, Rear 140\/90B16 77H TL, Rear 150\/80B16 77H TL, Rear 150\/80B16 77H TL WW, Rear 170\/70B16 75H TL, Rear 180\/60-16 74H TL, Rear 180\/60-16 74H TL WW, Rear 180\/65B16 81H TL, Rear 180\/65B16 81H TL WW, Rear 160\/70B17 79H TL, Rear 150\/70B18 56H TL, Rear 180\/55B18 84H TL, Rear 180\/55B18 84H TL WWW, Front 130\/90B16 73H TL, Front 130\/90B16 73H TL WW, Front 150\/80B16 71H TL, Front 130\/80B17 65H TL, Front 130\/80B17 65H TL WW, Front 130\/70B18 69H TL, Front 130\/70B18 69H TL WW, Front 100\/90-19 61H TL, Front 100\/90-19 61H TL WW, Front 110\/90B19 62H TL, Front 130\/60B19 67H TL, Front 130\/60B19 67H TL WW, Front 80\/90B21 54H, Front 90\/90-21 54H TL WW, Front 90\/90B21 54H TL, Front 120\/70B21 68V TL, Front 120\/70B21 68V TL WW"",""Type"":""Harley Davidson Tires"",""Make"":""Shinko"",""Model"":""SR999""}",1,0,8/2/2026 17:32,8/2/2026 17:32
WC-PROD-960,Shinko 777 Cruiser Tires,shinko-777-cruiser-tires,Shinko,Street Bike,Tires,Shinko,777,1995 - 2025,,Premium Shinko Shinko 777 Cruiser Tires motorcycle tire.,"High performance Shinko 777 Cruiser Tires motorcycle tire engineered for optimal traction, cornering stability, and extended tread life.",,,,Shinko 777 Cruiser Tires | America Motorcycle Tire,Premium Shinko Shinko 777 Cruiser Tires motorcycle tire.,"Shinko 777 Cruiser Tires, Shinko, motorcycle tire, bike tires",,,89.99,,,0,0,,,,0,,0,,,50,3,https://americamotorcycletire.com/wp-content/uploads/2026/06/shinko777_cruiser_tires.avif,"['https://americamotorcycletire.com/wp-content/uploads/2026/06/shinko777_cruiser_tires.avif', 'https://americamotorcycletire.com/wp-content/uploads/2026/06/shinko777_cruiser_tires-1.avif']",https://americamotorcycletire.com/wp-content/uploads/2026/06/shinko777_cruiser_tires.avif ; https://americamotorcycletire.com/wp-content/uploads/2026/06/shinko777_cruiser_tires-1.avif,"{""Wheel Location"":""Front, Rear"",""Tire Size"":""Front 130\/90B16 73H Reinforced, Front 150\/80-16 71H Reinforced, Front 120\/90-17 64H, Front 130\/80-17 65H, Front 130\/80B17 65H TL Reflective Sidewall, Front 140\/80-17 69H, Front 120\/90-18 65H, Front 130\/70B18 69H Reinforced, Front 160\/60R18 70V, Front 100\/90-19 61H Reinforced, Front 110\/90-19 62H, Front 130\/60-19 67H, Front 80\/90-21 54H Reinforced, Front 90\/90-21 54H, Front 120\/70-21 68V Reinforced, Front 130\/60-23 75H, Front 120\/50-26 73H Reinforced, Front 140\/40B30 57H TL, Rear 150\/90B15 80H Reinforced, Rear 160\/80-15 74H, Rear 170\/80B15 83H Reinforced, Rear 170\/80B15 83H TL Reflective Sidewall, Rear 180\/70B15 82H Reinforced, Rear 130\/90B16 73H Reinforced, Rear MU85B16 77H Reinforced, Rear 140\/90B16 77H Reinforced, Rear 150\/80B16 77H Reinforced, Rear 170\/70-16 75H, Rear 180\/65B16 81H Reinforced, Rear 160\/70B17 79H Reinforced, Rear 180\/60B17 81V TL, Rear 200\/55R17 78V TL, Rear 140\/70B18 72H Reinforced, Rear 150\/70B18 76H Reinforced, Rear 180\/55-18 84H, Rear 240\/40R18 79"",""Type"":""Harley Davidson Tires"",""Make"":""Shinko"",""Model"":""777""}",1,0,8/2/2026 17:32,8/2/2026 17:32
WC-PROD-1092,Michelin Commander III Tires,michelin-commander-iii-tires,Michelin,Street Bike,Tires,Michelin,Commander III,1995 - 2025,,Premium Michelin Michelin Commander III Tires motorcycle tire.,"High performance Michelin Commander III Tires motorcycle tire engineered for optimal traction, cornering stability, and extended tread life.",,,,Michelin Commander III Tires | America Motorcycle Tire,Premium Michelin Michelin Commander III Tires motorcycle tire.,"Michelin Commander III Tires, Michelin, motorcycle tire, bike tires",,,173.99,,,0,0,,,,0,,0,,,50,3,https://americamotorcycletire.com/wp-content/uploads/2026/06/michelin_commander_iii_touring_tires.avif,"['https://americamotorcycletire.com/wp-content/uploads/2026/06/michelin_commander_iii_touring_tires.avif', 'https://americamotorcycletire.com/wp-content/uploads/2026/06/michelin_commander_iii_touring_tires-1.avif', 'https://americamotorcycletire.com/wp-content/uploads/2026/06/michelin_commander_iii_touring_tires-2.avif']",https://americamotorcycletire.com/wp-content/uploads/2026/06/michelin_commander_iii_touring_tires.avif ; https://americamotorcycletire.com/wp-content/uploads/2026/06/michelin_commander_iii_touring_tires-1.avif ; https://americamotorcycletire.com/wp-content/uploads/2026/06/michelin_commander_iii_touring_tires-2.avif,"{""Wheel Location"":""Front, Rear"",""Tire Size"":""Front MT90 B 16 72H TL\/TT, Front 130\/90 B 16 73H Reinforced TL\/TT, Front 130\/80 B 17 65H TL\/TT, Front 130\/70 B 18 63H TL\/TT, Front 120\/70 R 19 60V TL\/TT, Front 130\/60B19 61H TL\/TT, Front MH90 21 54H TL\/TT, Front 120\/70 B 21 68H Reinforced TL\/TT, Rear MU85 B 16 77H Reinforced TL\/TT, Rear 180\/65 B 16 81H Reinforced TL\/TT, Rear 180\/55 B 18 80H Reinforced TL\/TT"",""Type"":""Harley Davidson Tires"",""Make"":""Michelin"",""Model"":""Commander III""}",1,0,8/2/2026 17:32,8/2/2026 17:32
WC-PROD-1112,Michelin Commander II Tires,michelin-commander-ii-tires,Michelin,Street Bike,Tires,Michelin,Commander II,1995 - 2025,,Premium Michelin Michelin Commander II Tires motorcycle tire.,"High performance Michelin Commander II Tires motorcycle tire engineered for optimal traction, cornering stability, and extended tread life.",,,,Michelin Commander II Tires | America Motorcycle Tire,Premium Michelin Michelin Commander II Tires motorcycle tire.,"Michelin Commander II Tires, Michelin, motorcycle tire, bike tires",,,143.99,,,0,0,,,,0,,0,,,50,3,https://americamotorcycletire.com/wp-content/uploads/2026/06/michelin_commander_ii_front_tires.avif,"['https://americamotorcycletire.com/wp-content/uploads/2026/06/michelin_commander_ii_front_tires.avif', 'https://americamotorcycletire.com/wp-content/uploads/2026/06/michelin_commander_2-9b550.avif', 'https://americamotorcycletire.com/wp-content/uploads/2026/06/michelin_commander_ii_rear_tires.avif']",https://americamotorcycletire.com/wp-content/uploads/2026/06/michelin_commander_ii_front_tires.avif ; https://americamotorcycletire.com/wp-content/uploads/2026/06/michelin_commander_2-9b550.avif ; https://americamotorcycletire.com/wp-content/uploads/2026/06/michelin_commander_ii_rear_tires.avif,"{""Wheel Location"":""Front, Rear"",""Tire Size"":""Front 130\/90B16 73H TL\/TT Reinforced, Front 120\/90B17 64S TL\/TT, Front 130\/80B17 65H TL\/TT, Front 140\/80B17 69H TL\/TT, Front 110\/90B18 61H TL\/TT, Front 100\/90B19 57H TL\/TT, Front 120\/70ZR19 60W TL\/TT, Front 80\/90-21 54H TL\/TT, Front 90\/90-21 54H TL\/TT, Rear 170\/80B15 77H TL\/TT, Rear 130\/90B16 73H TL\/TT, Rear 140\/90B16 77H TL\/TT, Rear 150\/80B16 77H TL\/TT, Rear 180\/65B16 81H TL\/TT, Rear 160\/70B17 73V TL\/TT, Rear 150\/70B18 76H TL\/TT, Rear 240\/40R18 79V TL"",""Type"":""Harley Davidson Tires"",""Make"":""Michelin"",""Model"":""Commander II""}",1,0,8/2/2026 17:32,8/2/2026 17:32
WC-PROD-1139,American Elite Tire,american-elite-tire,American Elite,Street Bike,Tires,American Elite,American Elite,1995 - 2025,,Premium American Elite American Elite Tire motorcycle tire.,"High performance American Elite Tire motorcycle tire engineered for optimal traction, cornering stability, and extended tread life.",,,,American Elite Tire | America Motorcycle Tire,Premium American Elite American Elite Tire motorcycle tire.,"American Elite Tire, American Elite, motorcycle tire, bike tires",,,163.99,,,0,0,,,,0,,0,,,50,3,https://americaapi.kaafifoods.com/storage/products/prod_077b6d79168518315d108d36bc268f40.webp,"['https://americaapi.kaafifoods.com/storage/products/prod_077b6d79168518315d108d36bc268f40.webp', 'https://americaapi.kaafifoods.com/storage/products/prod_70e2d7cdbcd48dcb9c4b78ed6fcb4813.webp', 'https://americaapi.kaafifoods.com/storage/products/prod_69e5ff3bef7e7e448a272e700c9e72fa.webp', 'https://americaapi.kaafifoods.com/storage/products/prod_a0a75a2dfb632b8613c7c613498c3500.webp']",https://americaapi.kaafifoods.com/storage/products/prod_077b6d79168518315d108d36bc268f40.webp ; https://americaapi.kaafifoods.com/storage/products/prod_70e2d7cdbcd48dcb9c4b78ed6fcb4813.webp ; https://americaapi.kaafifoods.com/storage/products/prod_69e5ff3bef7e7e448a272e700c9e72fa.webp ; https://americaapi.kaafifoods.com/storage/products/prod_a0a75a2dfb632b8613c7c613498c3500.webp,"{""Wheel Location"":""Front, Rear"",""Tire Size"":""Front MT90B16 72H TL, Front 130\/90B16 67H TL WWW, Front MT90B16 72H TL NWS, Front MT90B16 72H TL WWW, Front 130\/80B17 65H TL, Front 130\/80B17 65H TL, Front 140\/75R17 67V TL, Front 130\/70B18 63H TL, Front 100\/90-19 57H TL, Front 130\/60B19 61H TL, Front MH90B21 54H TL, Front 130\/60B21 63H TL, Front 130\/60B21 69H TL, Rear 130\/90B16 73H TL, Rear MT90B16 74H TL, Rear MT90B16 74H TL NWS, Rear MT90B16 74H TL WWW, Rear MU85B16 77H TL, Rear MU85B16 77H TL NWS, Rear MU85B16 77H TL WWW, Rear 140\/90B16 77H TL WWW, Rear 150\/80B16 77H TL, Rear 180\/65B16 81H TL, Rear 180\/65B16 81H TL NWS, Rear 180\/65B16 81H TL WWW, Rear 160\/70B17 73V TL, Rear 200\/55R17 78V TL, Rear 180\/55B18 80H TL, Rear 240\/40R18 79V TL"",""Type"":""Harley Davidson Tires"",""Make"":""American Elite"",""Model"":""American Elite""}",1,0,8/2/2026 17:32,8/2/2026 17:53
WC-PROD-1180,Pirelli Diablo Rosso IV Tires,pirelli-diablo-rosso-iv-tires,Pirelli,Street Bike,Tires,Pirelli,Diablo Rosso IV,1995 - 2025,,Premium Pirelli Pirelli Diablo Rosso IV Tires motorcycle tire.,"High performance Pirelli Diablo Rosso IV Tires motorcycle tire engineered for optimal traction, cornering stability, and extended tread life.",,,,Pirelli Diablo Rosso IV Tires | America Motorcycle Tire,Premium Pirelli Pirelli Diablo Rosso IV Tires motorcycle tire.,"Pirelli Diablo Rosso IV Tires, Pirelli, motorcycle tire, bike tires",,,153.76,,,0,0,,,,0,,0,,,50,2,https://americamotorcycletire.com/wp-content/uploads/2026/06/pirelli_diablo_rosso_iv_tires.avif,"['https://americamotorcycletire.com/wp-content/uploads/2026/06/pirelli_diablo_rosso_iv_tires.avif', 'https://americamotorcycletire.com/wp-content/uploads/2026/06/pirelli_diablo_rosso_iv_tires-1.avif', 'https://americamotorcycletire.com/wp-content/uploads/2026/06/pirelli_diablo_rosso_iv_tires-2.avif']",https://americamotorcycletire.com/wp-content/uploads/2026/06/pirelli_diablo_rosso_iv_tires.avif ; https://americamotorcycletire.com/wp-content/uploads/2026/06/pirelli_diablo_rosso_iv_tires-1.avif ; https://americamotorcycletire.com/wp-content/uploads/2026/06/pirelli_diablo_rosso_iv_tires-2.avif,"{""Wheel Location"":""Front, Rear"",""Tire Size"":""Front 110\/70R17 54H, Front 110\/70ZR17 54W, Front 120\/60ZR17 55W, Front 120\/70ZR17 58W, Rear 140\/70R17 66H, Rear 150\/60R17 66H, Rear 150\/60ZR17 66W, Rear 160\/60ZR17 69W, Rear 180\/55ZR17 73W, Rear 180\/60ZR17 75W, Rear 190\/50ZR17 73W, Rear 190\/55ZR17 75W, Rear 200\/55ZR17 78W, Rear 200\/60ZR17 80W"",""Type"":""Sport Bike Tires"",""Make"":""Pirelli"",""Model"":""Diablo Rosso IV""}",1,0,8/2/2026 17:32,8/2/2026 17:32
